GA_ID,Provisional_Name,Track,Provisional_GP,Bump_GP_On_Verification,Target_GP,Profile_Gate_Link,SudaPass_Status,Assigned_Lead
GA-1552,Dr. Candidate 1552,SMC Licensing / MTC,25,500,525,https://geneacademy.net/join.html?ref=gate&ga_id=GA-1552,PROVISIONAL_EXPLORER,Eng. Amjad Gorashi (GA-011)
GA-1553,Dr. Candidate 1553,SMC Licensing / MTC,25,500,525,https://geneacademy.net/join.html?ref=gate&ga_id=GA-1553,PROVISIONAL_EXPLORER,Eng. Amjad Gorashi (GA-011)
GA-1554,Dr. Candidate 1554,OET Fellowship Mobility,25,500,525,https://geneacademy.net/join.html?ref=gate&ga_id=GA-1554,PROVISIONAL_EXPLORER,Eng. Amjad Gorashi (GA-011)
GA-1555,Dr. Candidate 1555,AHA BLS Resuscitation,25,500,525,https://geneacademy.net/join.html?ref=gate&ga_id=GA-1555,PROVISIONAL_EXPLORER,Eng. Amjad Gorashi (GA-011)
GA-1556,Dr. Candidate 1556,SMC Licensing / MTC,25,500,525,https://geneacademy.net/join.html?ref=gate&ga_id=GA-1556,PROVISIONAL_EXPLORER,Eng. Amjad Gorashi (GA-011)
GA-1557,Dr. Candidate 1557,OET Fellowship Mobility,25,500,525,https://geneacademy.net/join.html?ref=gate&ga_id=GA-1557,PROVISIONAL_EXPLORER,Eng. Amjad Gorashi (GA-011)
GA-1558,Dr. Candidate 1558,AHA BLS Resuscitation,25,500,525,https://geneacademy.net/join.html?ref=gate&ga_id=GA-1558,PROVISIONAL_EXPLORER,Eng. Amjad Gorashi (GA-011)
GA-1559,Dr. Candidate 1559,SMC Licensing / MTC,25,500,525,https://geneacademy.net/join.html?ref=gate&ga_id=GA-1559,PROVISIONAL_EXPLORER,Eng. Amjad Gorashi (GA-011)
GA-1560,Dr. Candidate 1560,SMC Licensing / MTC,25,500,525,https://geneacademy.net/join.html?ref=gate&ga_id=GA-1560,PROVISIONAL_EXPLORER,Eng. Amjad Gorashi (GA-011)
GA-1561,Dr. Candidate 1561,OET Fellowship Mobility,25,500,525,https://geneacademy.net/join.html?ref=gate&ga_id=GA-1561,PROVISIONAL_EXPLORER,Eng. Amjad Gorashi (GA-011)
GA-1562,Dr. Candidate 1562,SMC Licensing / MTC,25,500,525,https://geneacademy.net/join.html?ref=gate&ga_id=GA-1562,PROVISIONAL_EXPLORER,Eng. Amjad Gorashi (GA-011)
GA-1563,Dr. Candidate 1563,AHA BLS Resuscitation,25,500,525,https://geneacademy.net/join.html?ref=gate&ga_id=GA-1563,PROVISIONAL_EXPLORER,Eng. Amjad Gorashi (GA-011)
